Km,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,lgCconst,Cconst,lgCcat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,polym,Complexity,Vmax_log
0.38,1,3.003,1.108,0.042,3.0,28.0,3,1.0,-0.698970004,0.322219295,-0.619788758,0.24,0.0,5.458631807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-3.946921556516581
1.18,1,2.992,1.117,-0.09,3.0,40.0,3,2.0,-1.698970004,-0.22184875,2.568201724,370.0,-1.420216403,10.60205999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-3.940058111938045
0.59,1,2.992,1.117,-0.09,3.0,40.0,3,2.0,-0.698970004,1.0,-0.721246399,0.19,-1.420216403,10.60205999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-4.661543506395395
0.311,1,2.827,1.086,-0.096,5.0,30.0,3,2.0,-1.301029996,-0.397940009,0.903089987,8.0,-1.522878745,7.193820026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.58838029403677
0.669,1,2.827,1.086,-0.096,5.0,30.0,3,2.0,-0.301029996,0.84509804,-0.301029996,0.5,-1.522878745,7.193820026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-4.903089986991944
0.691,1,2.87,1.084,-0.048,4.0,25.0,1,3.0,-1.0,-0.096910013,1.0,10.0,-1.0,7.301029996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.600326278518962
0.0732,1,2.87,1.084,-0.048,4.0,25.0,1,3.0,1.0,2.397940009,-0.096910013,0.8,-1.0,7.301029996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-4.565431095965801
0.077,1,2.967,1.109,-0.021,4.0,25.0,1,2.0,-1.0,-0.096910013,1.301029996,20.0,-1.823908741,8.653212514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-3.292004253577071
1.115,1,2.967,1.109,-0.021,4.0,25.0,1,2.0,0.0,1.698970004,0.903089987,8.0,-1.823908741,8.653212514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-3.934793871945688
0.577,1,2.582,1.09,-0.21,4.5,25.0,2,2.0,-1.0,0.176091259,2.0,100.0,-2.0,4.204119983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.088842391260023
10.0,1,2.656,1.066,0.11,4.65,25.0,3,5.0,-0.698970004,1.0,2.301029996,200.0,-1.0,2.62518379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.540607512240769
1.126,1,3.025,1.111,0.023,4.0,25.0,1,3.0,-1.0,-0.096910013,1.0,10.0,-0.522878745,7.903089987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.428291168191312
0.106,1,3.025,1.111,0.023,4.0,25.0,1,3.0,0.301029996,1.698970004,0.903089987,8.0,-0.522878745,7.903089987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-4.124360062995832
0.245,1,2.8696,1.1562,-0.215,5.0,25.0,3,7.0,-1.0,0.0,-1.698970004,0.02,-1.522878745,8.334453751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-3.830325565941193
0.133,1,2.8828,1.1208,-0.215,5.0,25.0,3,7.0,-1.698970004,-0.698970004,1.301029996,20.0,-1.522878745,8.334453751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-2.958212681028248
1.81,1,2.8206,1.1762,-0.215,3.6,25.0,1,7.0,-0.522878745,0.477121255,-1.0,0.1,-1.07918142,7.176091259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.568636235841013
0.021,1,2.7826,1.1878,-0.215,3.6,25.0,1,7.0,-2.0,-0.886056648,0.477121255,3.0,-1.07918142,7.176091259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-4.552841968657781
0.36,1,2.7966,1.1608,-0.29,6.0,30.0,1,7.0,0.0,0.477121255,0.079181246,1.2,0.477121255,7.903089987,52.414,0.2,111.144,12.62077651,0.0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0.0,12.96557803,-0.319671229,12.96557803,12.77889057,226.0,52.0,40.5,20.31,0.4,5.99273862,6.0,-0.39829863,0.037337328,-2.048432761,0.0,0.0,-3.7783250029292312
0.15,1,2.9404,1.1774,-0.29,3.5,40.0,3,7.0,-1.301029996,0.0,1.698970004,50.0,-0.779255588,8.398021648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-5.1938200260161125
1.13,1,2.8596,1.1754,-0.29,3.5,40.0,3,7.0,-0.301029996,0.602059991,2.0,100.0,-0.779255588,8.398021648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-3.903089986991944
0.39,1,2.747,1.149,0.27,4.0,30.0,3,7.0,-2.0,0.0,2.514547753,327.0,-2.777283529,4.63357954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.226213555018807
9.43,1,2.6718,1.0478,0.27,4.0,30.0,3,7.0,-3.0,3.0,-0.777283529,0.17,-2.777283529,4.63357954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-4.718966632752273
0.018,1,2.9054,1.1494,0.1618,4.0,25.0,3,7.0,-2.301029996,-0.522878745,-0.397940009,0.4,-1.823908741,3.528273777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,0.0,5.99273862,6.0,-0.39829863,0.037337328,0.0,0.0,0.0,-4.903089986991944
6.942,1,2.8572,1.1738,-0.0844,4.0,25.0,3,7.0,-2.301029996,-0.397940009,-0.698970004,0.2,-1.823908741,3.528273777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,0.0,6.0,5.99273862,-0.254557431,-0.254557431,0.0,0.0,0.0,-3.3010299956639813
