Km,Vmax,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,XLogP,MaxEStateIndex.1,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,Complexity,Vmax_log
0.0732,2.72e-05,1,2.87,1.084,-0.048,4.0,25.0,1,3.0,1.0,2.397940009,10.0,250.0,-0.096910013,0.8,-1.0,0.1,7.301029996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-4.565431095965801
0.077,0.0005105,1,2.967,1.109,-0.021,4.0,25.0,1,2.0,-1.0,-0.096910013,0.1,0.8,1.301029996,20.0,-1.823908741,0.015,8.653212514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-3.292004253577071
1.115,0.0001162,1,2.967,1.109,-0.021,4.0,25.0,1,2.0,0.0,1.698970004,1.0,50.0,0.903089987,8.0,-1.823908741,0.015,8.653212514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-3.934793871945688
0.577,8.15e-05,1,2.582,1.09,-0.21,4.5,25.0,2,2.0,-1.0,0.176091259,0.1,1.5,2.0,100.0,-2.0,0.01,4.204119983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.088842391260023
10.0,2.88e-05,1,2.656,1.066,0.11,4.65,25.0,3,5.0,-0.698970004,1.0,0.2,10.0,2.301029996,200.0,-1.0,0.1,2.62518379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.540607512240769
1.126,3.73e-05,1,3.025,1.111,0.023,4.0,25.0,1,3.0,-1.0,-0.096910013,0.1,0.8,1.0,10.0,-0.522878745,0.3,7.903089987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.428291168191312
0.106,7.51e-05,1,3.025,1.111,0.023,4.0,25.0,1,3.0,0.301029996,1.698970004,2.0,50.0,0.903089987,8.0,-0.522878745,0.3,7.903089987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-4.124360062995832
0.245,0.0001478,1,2.8696,1.1562,-0.215,5.0,25.0,3,7.0,-1.0,0.0,0.1,1.0,-1.698970004,0.02,-1.522878745,0.03,8.334453751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-3.830325565941193
0.133,0.001101,1,2.8828,1.1208,-0.215,5.0,25.0,3,7.0,-1.698970004,-0.698970004,0.02,0.2,1.301029996,20.0,-1.522878745,0.03,8.334453751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-2.958212681028248
1.81,2.7e-05,1,2.8206,1.1762,-0.215,3.6,25.0,1,7.0,-0.522878745,0.477121255,0.3,3.0,-1.0,0.1,-1.07918142,0.0833333,7.176091259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.568636235841013
0.021,2.8e-05,1,2.7826,1.1878,-0.215,3.6,25.0,1,7.0,-2.0,-0.886056648,0.01,0.13,0.477121255,3.0,-1.07918142,0.0833333,7.176091259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-4.552841968657781
