activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,XLogP,MaxEStateIndex.1,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,Complexity,Vmax_log
1,2.992,1.117,-0.09,4.0,25.0,3,2.0,-2.301029996,-1.0,0.005,0.1,-0.522878745,2.181389913,151.8413,3.587698957,282.5,1.0,326.521,32.10410811,13.21376393,4.25882859,19.21723666,1.43e-06,0.331506779,-0.664233856,0.0,0.0,6.420821623,-0.48123039,26.05540717,12.15204021,0.0,40.5,52.0,49.8,6.0,-0.254557431,-0.254557431,-1.987595201,10.0,-2.3615107430453626
1,2.67,1.065,0.17,4.0,45.0,1,2.0,0.0,3.0,1.0,1000.0,-1.0,-1.602059991,0.025,7.033858717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-5.221848749616356
1,2.2,0.937,0.828,4.0,25.0,3,7.0,-1.0,0.204119983,0.1,1.6,1.814247596,-2.0,0.01,4.632204133,55000.0,0.2,287.268,12.62077651,6.606881965,3.690277778,6.919857351,2.17e-07,0.208333333,-1.417962963,11.09986462,0.0,12.96557803,-0.5050473,12.96557803,24.29722032,226.0,52.0,40.5,59.55765594,5.99273862,-0.39829863,0.037337328,-2.133673375,0.0,-4.1487416512809245
2,2.2936,1.3082,1.2,4.5,30.0,3,6.6,-3.0,-0.522878745,0.001,0.3,0.0,-1.842578782,0.05401,4.070407322,364.45,0.2,364.456,12.84164325,27.68777235,3.625283579,16.8044325,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.483030858,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,-2.230981606,0.0,-5.079354998593212
1,2.667,1.177,-0.29,4.0,45.0,3,7.0,-0.602059991,0.301029996,0.25,2.0,0.698970004,-0.22184875,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.709965388637482
1,2.667,1.177,-0.29,6.0,30.0,3,7.0,0.0,0.477121255,1.0,3.0,0.079181246,0.477121255,3.0,2.334453751,23.248,0.2,111.144,12.62077651,0.0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0.0,12.96557803,-0.319671229,12.96557803,12.77889057,226.0,52.0,40.5,0.4,5.99273862,-0.39829863,0.037337328,-2.048432761,0.0,-3.862013267276468
1,2.923,1.094,-0.071,7.4,25.0,3,3.0,-2.0,-0.397940009,0.01,0.4,0.301029996,-1.698970004,0.02,7.431363764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,160.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-2.622815273659073
1,2.81,1.063,0.016,4.0,25.0,1,4.0,-2.0,0.477121255,0.01,3.0,0.0,-2.301029996,0.005,6.005395032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,52.0,0.0,6.0,-0.254557431,-0.254557431,0.0,0.0,-3.2218487496163566
1,2.837,1.08,-0.397,4.0,25.0,2,4.0,-1.301029996,-0.522878745,0.05,0.3,0.698970004,-2.527199685,0.0029703,5.176091259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,52.0,40.5,0.0,5.99273862,-0.39829863,0.037337328,0.0,0.0,-4.619788758288394
1,2.28,1.35,1.2,4.0,27.6,3,7.0,-2.0,-0.22184875,0.01,0.6,3.301029996,-1.384163751,0.076,3.493058567,55000.0,0.2,111.144,12.62077651,0.0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0.0,12.96557803,-0.319671229,12.96557803,12.77889057,226.0,52.0,40.5,0.4,5.99273862,-0.39829863,0.037337328,-2.048432761,0.0,-3.1023729087095586
